lookup_key,occurrences,source_files,candidate_structure_ids,review_states
E23,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E24,7,6,source-equation-codes,"{""explicit-metadata"": 7}"
E25,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E26,7,6,source-equation-codes,"{""explicit-metadata"": 7}"
E27,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E28,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E29,7,6,source-equation-codes,"{""explicit-metadata"": 7}"
e3,9,2,basis-vector-family;event-index-family,"{""ambiguous"": 9}"
E30,7,6,source-equation-codes,"{""explicit-metadata"": 7}"
E31,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E32,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E33,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E34,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E35,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E36,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E37,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E38,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E39,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E40,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E42,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E43,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E44,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E45,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E46,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E47,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E48,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E49,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E50,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E51,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
E52,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
F0,103,4,kernel-forward,"{""single-candidate"": 103}"
F1,109,9,kernel-forward;source-equation-codes,"{""single-candidate"": 106, ""explicit-metadata"": 3}"
F10,2,1,petersen-f10,"{""single-candidate"": 2}"
F2,30,16,binary-field;source-equation-codes,"{""single-candidate"": 27, ""explicit-metadata"": 3}"
F2^2,4,2,binary-vector-spaces,"{""single-candidate"": 4}"
F2^3,1,1,binary-vector-spaces,"{""single-candidate"": 1}"
F2^4,8,2,binary-vector-spaces,"{""single-candidate"": 8}"
F3,3,3,source-equation-codes,"{""explicit-metadata"": 3}"
F4,3,3,source-equation-codes,"{""explicit-metadata"": 3}"
F5,3,3,source-equation-codes,"{""explicit-metadata"": 3}"
F6,3,3,source-equation-codes,"{""explicit-metadata"": 3}"
F7,4,3,source-equation-codes,"{""explicit-metadata"": 4}"
F8,5,4,source-equation-codes,"{""unresolved"": 1, ""explicit-metadata"": 4}"
F^10,2,1,power-expression,"{""derived-notation"": 2}"
F^16,2,1,power-expression,"{""derived-notation"": 2}"
F^20,4,3,power-expression,"{""derived-notation"": 4}"
F^5,2,2,power-expression,"{""superscript-review"": 2}"
FP7,6,4,source-audit-codes,"{""source-locator-candidate"": 6}"
G15,83,30,g15-native,"{""single-candidate"": 83}"
g15,59,4,source-path-fragments,"{""single-candidate"": 57, ""explicit-metadata"": 2}"
G1800,61,10,g1800-family,"{""single-candidate"": 61}"
g1800,17,9,source-path-fragments,"{""explicit-metadata"": 10, ""single-candidate"": 7}"
g2,1,1,g2-word-spelling,"{""single-candidate"": 1}"
G21,2,2,source-audit-codes,"{""source-locator-candidate"": 2}"
G30,53,22,g30-original,"{""single-candidate"": 53}"
g30,4,2,source-path-fragments,"{""explicit-metadata"": 1, ""single-candidate"": 3}"
G4,13,5,g-family-4,"{""single-candidate"": 13}"
G5,13,5,g-family-5,"{""single-candidate"": 13}"
G6,13,5,g-family-6,"{""single-candidate"": 13}"
G60,167,61,g60-native,"{""single-candidate"": 167}"
g60,73,19,source-path-fragments,"{""explicit-metadata"": 48, ""single-candidate"": 25}"
G900,17,7,g900-associated,"{""single-candidate"": 17}"
g900,6,2,source-path-fragments,"{""explicit-metadata"": 2, ""single-candidate"": 4}"
G9000,85,5,g9000-registered,"{""single-candidate"": 85}"
g9000,19,2,source-path-fragments,"{""single-candidate"": 9, ""explicit-metadata"": 10}"
G^2,1,1,power-expression,"{""derived-notation"": 1}"
g^2,4,3,power-expression,"{""derived-notation"": 4}"
g^4,2,2,power-expression,"{""derived-notation"": 2}"
H0,5,3,v4-history-isotropy,"{""single-candidate"": 5}"
h0,6,3,initial-history-prefix,"{""single-candidate"": 6}"
H1,13,5,h1-homology;h2-history-variable;v4-history-isotropy,"{""ambiguous"": 13}"
h1,16,5,predictive-history-test-pair,"{""single-candidate"": 16}"
H12,6,4,h12-history-candidate,"{""single-candidate"": 6}"
H2,4,2,h2-history-variable;v4-history-isotropy,"{""ambiguous"": 4}"
h2,16,6,predictive-history-test-pair,"{""single-candidate"": 16}"
H35,6,3,source-h-locators,"{""source-locator-candidate"": 6}"
H40,1,1,h40-dart-incidence;source-h-locators,"{""ambiguous"": 1}"
h40,3,2,h40-dart-incidence;source-path-fragments,"{""explicit-metadata"": 2, ""single-candidate"": 1}"
H41,1,1,source-h-locators,"{""source-locator-candidate"": 1}"
H5,22,4,frame-hermitian-current,"{""single-candidate"": 22}"
H58,6,4,source-h-locators,"{""source-locator-candidate"": 6}"
H5^2,6,3,power-expression,"{""derived-notation"": 6}"
H61,1,1,source-h-locators,"{""source-locator-candidate"": 1}"
H65,1,1,source-h-locators,"{""source-locator-candidate"": 1}"
H67,3,2,source-h-locators,"{""source-locator-candidate"": 3}"
H69,3,1,source-h-locators,"{""source-locator-candidate"": 3}"
